suite,family,graph_family,hidden_failure,stress_level,scenario,selector,N,selected_score,selected_score_sem,selected_score_ci95_low,selected_score_ci95_high,selected_real_utility,selected_real_utility_sem,selected_real_utility_ci95_low,selected_real_utility_ci95_high,selected_true_target_error,selected_true_target_error_sem,selected_true_target_error_ci95_low,selected_true_target_error_ci95_high,selected_edge_violation,selected_edge_violation_sem,selected_edge_violation_ci95_low,selected_edge_violation_ci95_high,selected_hidden_energy,selected_hidden_energy_sem,selected_hidden_energy_ci95_low,selected_hidden_energy_ci95_high,selected_action_norm,selected_action_norm_sem,selected_action_norm_ci95_low,selected_action_norm_ci95_high,selected_calibration_gap,selected_calibration_gap_sem,selected_calibration_gap_ci95_low,selected_calibration_gap_ci95_high,oracle_regret,oracle_regret_sem,oracle_regret_ci95_low,oracle_regret_ci95_high,oracle_gap_closed_vs_random,oracle_gap_closed_vs_random_sem,oracle_gap_closed_vs_random_ci95_low,oracle_gap_closed_vs_random_ci95_high
stress,controlled_graph_physics,chain,delayed_damping,medium,long_horizon,action_penalty_ablation,1,-0.2606614366533533,0.006884320783240091,-0.27192815430234063,-0.2493625814929886,-0.2626317410651274,0.005566892289410255,-0.2712289687479543,-0.25403451338230043,0.2549008138559233,0.0051584335190144204,0.24707347038150956,0.2635812150054336,0.005374882247062519,0.0016770982888726711,0.0026867928494684135,0.008062971644656625,0.0027130882732327145,0.0008618429679107225,0.001099090810134792,0.003889879642150305,0.1440195000731974,0.006702773720210533,0.13282954357632107,0.15420546813934866,-0.009670337645521249,0.0022024049691725628,-0.013033761783347489,-0.005013656493331173,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
stress,controlled_graph_physics,chain,delayed_damping,medium,long_horizon,action_penalty_ablation,2,-0.2355266001519359,0.013432207864905924,-0.25784022261999,-0.21321297768388178,-0.24195327540469563,0.010969676855458672,-0.26053995252680956,-0.22336659828258182,0.23398019902091904,0.0114158322613912,0.214412282585004,0.2535481154568341,0.006061146121973991,0.002015384914854673,0.002066902594483573,0.009859041591830396,0.003078486529560294,0.0012234857440800572,0.0011226982460874994,0.005034274813033089,0.1435808436074788,0.006673566784143364,0.13183965938889874,0.15340882227289745,-0.005389857834237836,0.0024925146453235324,-0.009852348545651047,-0.0017834574381049642,0.002910741223320773,0.002910741223320773,0.0,0.008732223669962319,0.5,0.5,-0.5,1.0
stress,controlled_graph_physics,chain,delayed_damping,medium,long_horizon,action_penalty_ablation,4,-0.2100313534829128,0.010246123830826365,-0.22932548635393418,-0.19284167600446617,-0.2222113761089381,0.010995226337109903,-0.24220324051954104,-0.20242440762175196,0.21154428719730967,0.009927393578216686,0.19261898057891194,0.22890729123287756,0.008910164744044241,0.0022802601842497557,0.005350021831222315,0.01253611061902842,0.0056356628060654146,0.0014907283208126525,0.0032643844725552705,0.008006941139575558,0.171074978905985,0.01646913770766934,0.1505247862596732,0.2026131106530627,-0.003038932935054417,0.002599999821858922,-0.007258142771825571,0.001180276901716737,0.00151022308684777,0.00151022308684777,0.0,0.00453066926054331,0.8476530417575394,0.15234695824246064,0.542959125272618,1.0
stress,controlled_graph_physics,chain,delayed_damping,medium,long_horizon,action_penalty_ablation,8,-0.19699655506716804,0.01753204490971656,-0.2245693528780594,-0.16800568118485615,-0.21606166682876626,0.012198417625539987,-0.23654691071141312,-0.19752658038400572,0.20112759283697057,0.013886133818883081,0.1753524163563574,0.223477834386476,0.0167312412269704,0.008525412680901599,0.005350021831222315,0.03253505290197773,0.011463939614888225,0.006556788366328073,0.0032643844725552705,0.02416646292680455,0.18009742919371946,0.01536920169860746,0.15291597001459956,0.20876936773355423,-0.0004545457657878296,0.0049015135875033105,-0.007258142771825571,0.008547150213381004,0.0017925701137856478,0.0017925701137856478,0.0,0.0053777103413569435,0.9134569104341403,0.08654308956585968,0.740370731302421,1.0
stress,controlled_graph_physics,chain,delayed_damping,medium,long_horizon,action_penalty_ablation,16,-0.16073314490566543,0.009330841940863338,-0.1789900559304738,-0.14634870858515528,-0.1855299103787831,0.011646234788950365,-0.19877846242643127,-0.1621347789473949,0.16953875886180964,0.010197091220636152,0.1480900736399014,0.18304164148860178,0.017343007565502444,0.008164937556811457,0.007317527145149324,0.03323180787423907,0.013069595341038215,0.006080112212923884,0.005000415894952844,0.024382184182720538,0.17705785271940938,0.005312441775448772,0.16622395387841227,0.18657465546675872,0.004226462518293131,0.006616836626659872,-0.007114405453776854,0.015567330490363115,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
stress,controlled_graph_physics,chain,delayed_damping,medium,long_horizon,action_penalty_ablation,32,-0.16073314490566543,0.009330841940863338,-0.1789900559304738,-0.146777255024485,-0.1855299103787831,0.011646234788950365,-0.19877846242643127,-0.1621347789473949,0.16953875886180964,0.010197091220636152,0.1480900736399014,0.18304164148860178,0.017343007565502444,0.008164937556811457,0.007317527145149324,0.03323180787423907,0.013069595341038215,0.006080112212923884,0.005000415894952844,0.024382184182720538,0.17705785271940938,0.005312441775448772,0.16847238257890942,0.185340372382523,0.004226462518293131,0.006616836626659872,-0.007601872259806304,0.014505010694388552,1.6397900113596098e-05,1.6397900113596098e-05,0.0,4.919370034078829e-05,0.9997098589308708,0.0002901410691292239,0.9991295767926123,1.0
stress,controlled_graph_physics,chain,delayed_damping,medium,long_horizon,action_penalty_ablation,64,-0.13875273856371714,0.016764700924996066,-0.16062188146962464,-0.10695591848715891,-0.17114259835107154,0.010047490777883918,-0.18727658400788447,-0.15542608193754606,0.15119128821609973,0.014980908565305744,0.1271996576437563,0.1751829187884432,0.023600993787068224,0.015283083609270548,0.0060172136288547205,0.05395623681337832,0.01934712069327766,0.01358049923950842,0.003130172575761621,0.046020125218225696,0.18078763416089316,0.009330038982028768,0.16650888387147858,0.19747906979814375,0.007752564378648848,0.006569175122773825,-0.003032568653572154,0.01853769741086985,1.6397900113596098e-05,1.6397900113596098e-05,0.0,4.919370034078829e-05,0.9997280496914219,0.00027195030857804503,0.9991841490742658,1.0
stress,controlled_graph_physics,chain,delayed_damping,medium,long_horizon,adaptive_gate,1,-0.23761831664164174,0.0069550090309980035,-0.24943772508459508,-0.22579890819868842,-0.2626317410651274,0.005566892289410255,-0.2718080850498314,-0.25403451338230043,0.2549008138559233,0.0051584335190144204,0.24707347038150956,0.265449696636261,0.005374882247062519,0.0016770982888726711,0.002686792849468414,0.008062971644656625,0.0027130882732327145,0.0008618429679107225,0.001099090810134792,0.004065039238233863,0.1440195000731974,0.006702773720210533,0.13282954357632107,0.15398803777513592,-0.009670337645521249,0.0022024049691725628,-0.012823916072858738,-0.00651675921818376,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
stress,controlled_graph_physics,chain,delayed_damping,medium,long_horizon,adaptive_gate,2,-0.20914058678360734,0.011939230528508659,-0.22960070071659872,-0.18868047285061595,-0.2390425341813749,0.009137377723276791,-0.254718470080168,-0.22336659828258182,0.22979553296818733,0.009100397257125314,0.21514640716851408,0.24517878335137067,0.006748728860995822,0.0023029628356354206,0.0029699438835950435,0.010527513838396601,0.003629891399986377,0.001492653312845305,0.0011226982460874994,0.006137084553885255,0.16693671183610093,0.017788635116972377,0.14549404916064024,0.20190726407476514,-0.01030452015889343,0.007304019298249356,-0.024924793904997355,-0.0017834574381049642,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
stress,controlled_graph_physics,chain,delayed_damping,medium,long_horizon,adaptive_gate,4,-0.1826593568579552,0.008387232783460138,-0.19690738864944418,-0.1672277496356311,-0.2222113761089381,0.010995226337109903,-0.24269661999158493,-0.20242440762175196,0.21154428719730967,0.009927393578216686,0.19253363848878027,0.22874473487072206,0.008910164744044241,0.0022802601842497557,0.005350021831222315,0.012595646632413322,0.0056356628060654146,0.0014907283208126525,0.0032643844725552705,0.00831748560632607,0.171074978905985,0.01646913770766934,0.15112196182986487,0.20560146997818074,-0.003038932935054417,0.002599999821858922,-0.007258142771825571,0.001180276901716737,0.00151022308684777,0.00151022308684777,0.0,0.00453066926054331,0.8476530417575394,0.15234695824246064,0.542959125272618,1.0
stress,controlled_graph_physics,chain,delayed_damping,medium,long_horizon,adaptive_gate,8,-0.1732489998439315,0.016966287146161455,-0.19674115112930912,-0.1394953911539652,-0.21606166682876626,0.012198417625539987,-0.24165792636622935,-0.1975265803840057,0.20112759283697057,0.013886133818883081,0.17877735128746514,0.223477834386476,0.0167312412269704,0.008525412680901599,0.00506302414652015,0.03253505290197773,0.011463939614888225,0.006556788366328073,0.0032643844725552705,0.02416646292680455,0.18009742919371946,0.01536920169860746,0.15650150490990927,0.21163556094079716,-0.0004545457657878296,0.0049015135875033105,-0.00781747823687938,0.00925522866275522,0.0017925701137856478,0.0017925701137856478,0.0,0.0053777103413569435,0.9134569104341403,0.08654308956585968,0.740370731302421,1.0
