N,raw_mean_oracle_regret,adaptive_mean_oracle_regret,combined_mean_oracle_regret,raw_mean_hidden_energy,adaptive_mean_hidden_energy,raw_mean_selected_utility,adaptive_mean_selected_utility,adaptive_regret_reduction,n_cells
1,0.0,0.0,0.0,0.06777995545796892,0.06777995545796892,-0.2814347186632597,-0.2814347186632597,0.0,75
2,0.0053470866442567305,0.0053470866442567305,0.0004416451859236958,0.038614836534839644,0.038614836534839644,-0.22606787285707275,-0.22606787285707275,0.0,75
4,0.009125782820482474,0.009125782820482474,0.0019766446558544173,0.04265413211747042,0.04265413211747042,-0.21207901280752844,-0.21207901280752844,0.0,75
8,0.011702687551794804,0.0020382454499740534,0.0024096675486203986,0.0463459574161508,0.02782060657872416,-0.20448200187713647,-0.19481755977531573,0.00966444210182075,75
16,0.012560389835315282,0.0018562936561190239,0.0024148305606677633,0.05051586349750365,0.028846337974552157,-0.19666525813250232,-0.18596116195330606,0.010704096179196258,75
32,0.011730947256653334,0.00270088313640403,0.0036788710351862235,0.04908673233389225,0.02911698072843095,-0.19054420686172444,-0.18151414274147512,0.009030064120249304,75
64,0.011274380502596649,0.003978916925338978,0.004853538723689338,0.049242106147189456,0.034298725937766936,-0.18470627797873557,-0.1774108144014779,0.007295463577257671,75
