graph_family,hidden_failure,stress_level,raw_oracle_regret,adaptive_oracle_regret,combined_repair_oracle_regret,adaptive_regret_reduction,combined_regret_reduction,adaptive_nonworse,raw_positive_regret
chain,delayed_damping,medium,1.6397900113596098e-05,1.6397900113596098e-05,1.6397900113596098e-05,0.0,0.0,True,False
chain,delayed_damping,mild,0.0,0.0,0.0,0.0,0.0,True,False
chain,delayed_damping,severe,0.0018011592708735424,0.0018011592708735424,0.0018011592708735424,0.0,0.0,True,False
chain,long_horizon_drift,medium,0.00829320205206861,0.00829320205206861,0.00829320205206861,0.0,0.0,True,True
chain,long_horizon_drift,mild,0.002876331200719326,0.002876331200719326,0.002876331200719326,0.0,0.0,True,True
chain,long_horizon_drift,severe,0.022194009864959244,0.022194009864959244,0.022194009864959244,0.0,0.0,True,True
chain,omitted_edges,medium,0.022019664822130795,0.006823097365672888,0.006823097365672888,0.015196567456457907,0.015196567456457907,True,True
chain,omitted_edges,mild,0.009279737678054512,0.004749720561249476,0.004749720561249476,0.004530017116805035,0.004530017116805035,True,True
chain,omitted_edges,severe,0.05412604428127611,0.0033453604782427288,0.0033453604782427288,0.05078068380303338,0.05078068380303338,True,True
chain,shifted_rest_lengths,medium,0.01856773522133554,0.007036334990567914,0.007036334990567914,0.011531400230767624,0.011531400230767624,True,True
chain,shifted_rest_lengths,mild,0.017101832288744574,0.00781848253190473,0.00781848253190473,0.009283349756839844,0.009283349756839844,True,True
chain,shifted_rest_lengths,severe,0.022732485991066406,0.021414021046483676,0.021414021046483676,0.0013184649445827298,0.0013184649445827298,True,True
chain,topology_aliasing,medium,0.022124532825645374,0.0010613807211207124,0.0010613807211207124,0.02106315210452466,0.02106315210452466,True,True
chain,topology_aliasing,mild,0.017136381241841442,0.009007494166813082,0.009007494166813082,0.00812888707502836,0.00812888707502836,True,True
chain,topology_aliasing,severe,0.031667018497466906,0.007833676803996596,0.007833676803996596,0.02383334169347031,0.02383334169347031,True,True
clustered,delayed_damping,medium,0.0005355804612242679,0.0005355804612242679,0.0005355804612242679,0.0,0.0,True,False
clustered,delayed_damping,mild,0.00017997424418546987,0.00017997424418546987,0.0007384334994005246,0.0,-0.0005584592552150547,True,False
clustered,delayed_damping,severe,0.0009328196216694257,0.0009328196216694257,0.0009328196216694257,0.0,0.0,True,False
clustered,long_horizon_drift,medium,0.012772604456756646,0.006859910750491964,0.006859910750491964,0.005912693706264682,0.005912693706264682,True,True
clustered,long_horizon_drift,mild,0.006073651108163797,0.0034403723720535517,0.0034403723720535517,0.002633278736110245,0.002633278736110245,True,True
clustered,long_horizon_drift,severe,0.020174709963316058,0.008095079157791035,0.008095079157791035,0.012079630805525023,0.012079630805525023,True,True
clustered,omitted_edges,medium,0.010384363821246564,0.008839627021473423,0.008839627021473423,0.0015447367997731415,0.0015447367997731415,True,True
clustered,omitted_edges,mild,0.0076131534768064495,0.0008738785052180807,0.0024391282667197214,0.006739274971588369,0.005174025210086728,True,True
clustered,omitted_edges,severe,0.023285528593566827,0.0031978254769784095,0.0031978254769784095,0.020087703116588418,0.020087703116588418,True,True
clustered,shifted_rest_lengths,medium,0.003022421810094364,0.003022421810094364,0.004353329358839239,0.0,-0.0013309075487448752,True,True
clustered,shifted_rest_lengths,mild,0.0058742195540772285,0.000332827311002596,0.005978560135183188,0.0055413922430746325,-0.00010434058110595987,True,True
