scope,treatment,metric,n_pairs,mean_delta,ci95_low,ci95_high
all_high_n,combined_repair,selected_real_utility,320,0.0059377122012985025,0.004051713336424864,0.007941017731823149
all_high_n,adaptive_gate,selected_real_utility,320,0.0070089879759587,0.005287485616096714,0.008930559116783959
all_high_n,oracle,selected_real_utility,320,0.010906375800308163,0.009053614711091612,0.013139907969940743
hard_oracle_gap_gt_0.002,combined_repair,selected_real_utility,155,0.013838752313859453,0.010302706702718578,0.017426902749498298
hard_oracle_gap_gt_0.002,adaptive_gate,selected_real_utility,155,0.01446729200886622,0.011194679545615097,0.018119609665175052
hard_oracle_gap_gt_0.002,oracle,selected_real_utility,155,0.022379509637846674,0.01936276842199108,0.025940586268187436
